City_ID,City,Country,Max Temp,Current Descriptions,Lat,Lng,Hotel Name
0,Mount Isa,AU,78.8,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
2,Auki,SB,84.92,broken clouds,-8.7676,160.7034,Auki Motel
3,Haileybury,CA,50.0,overcast clouds,47.449,-79.6373,Haileybury Beach Motel
4,Ahmadpur East,PK,78.85,clear sky,29.1431,71.2598,Irfan fabrics
5,Mahébourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
6,Ushuaia,AR,50.0,scattered clouds,-54.8,-68.3,Albatros Hotel
7,Busselton,AU,63.19,clear sky,-33.65,115.3333,Observatory Guest House
9,Hobart,AU,55.4,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
10,Ketchikan,US,60.8,few clouds,55.3422,-131.6461,Snows Cove Lodge
11,Kuandian,CN,52.21,clear sky,40.7286,124.7847,Hi Inn Dandong Kuandian Ji Xian Garden
13,Bethel,US,59.0,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
14,Lorengau,PG,82.35,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
16,Arraial do Cabo,BR,75.2,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
19,Vila Franca do Campo,PT,59.0,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
20,Buta,CD,69.13,moderate rain,2.7858,24.73,HOTEL BISO NA BISO
21,Ahipara,NZ,65.03,few clouds,-35.1667,173.1667,Ahipara Holiday Park
22,Ranau,MY,82.4,few clouds,5.9538,116.6641,The Second Room
23,Saint George,US,80.6,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
25,Hermanus,ZA,63.0,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
26,Mahibadhoo,MV,83.01,few clouds,3.7833,72.9667,Omadhoo Inn
27,Lompoc,US,60.8,overcast clouds,34.6391,-120.4579,Holiday Inn Express Lompoc
28,Rikitea,PF,78.71,light rain,-23.1203,-134.9692,Pension Maro'i
30,Touros,BR,77.0,clear sky,-5.1989,-35.4608,INN NEW HORIZON
31,Chui,UY,65.17,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
32,Bluff,NZ,48.0,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
33,Hong Kong,HK,78.01,broken clouds,22.2855,114.1577,Mini Hotel Central
34,San Quintín,MX,62.01,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
36,Bima,ID,79.54,few clouds,-8.4667,118.7167,Lambitu Hotel
37,Cabatuan,PH,82.92,overcast clouds,10.8794,122.486,ROREM'S BOARDING HOUSE
39,Mataura,NZ,48.0,overcast clouds,-46.1927,168.8643,Ellie's Villa
40,Butaritari,KI,82.26,light rain,3.0707,172.7902,Isles Sunset Lodge
41,Ribeira Grande,PT,59.76,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
43,Ponta do Sol,PT,57.0,scattered clouds,32.6667,-17.1,Hotel do Campo
44,Mar del Plata,AR,57.99,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
45,Kapaa,US,80.6,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
46,Punta Arenas,CL,46.4,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
48,Qaqortoq,GL,53.6,overcast clouds,60.7167,-46.0333,Hotel Qaqortoq
49,Manaus,BR,82.4,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
50,Quatre Cocos,MU,78.8,light rain,-20.2078,57.7625,Veranda Palmar Beach Hotel
51,Avarua,CK,84.2,scattered clouds,-21.2078,-159.775,Paradise Inn
52,Victor Harbor,AU,64.0,scattered clouds,-35.5667,138.6167,McCracken Country Club
55,Fengcheng,CN,52.79,clear sky,40.4536,124.0717,Hanting Hotel Fengcheng Phoenix Station
56,Seoul,KR,64.4,clear sky,37.5683,126.9778,Lotte Hotel Seoul
57,Nicoya,CR,83.43,broken clouds,10.1483,-85.452,Guayacan Real
59,Saint-Philippe,RE,77.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
61,Saint Anthony,US,48.99,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
62,Ngawen,ID,75.31,clear sky,-7.0032,111.3129,MURAI BATU BIRD FARM BASE'CAMP IBF
63,Guerrero Negro,MX,64.08,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
64,Itum-Kale,RU,49.87,scattered clouds,42.7356,45.5758,Мини-отель ASTAR
65,Baloi,PH,82.0,scattered clouds,8.1146,124.2217,ILONG A ASOOO
66,Airai,TL,65.8,broken clouds,-8.9266,125.4092,Juvinal Martin
68,Hasaki,JP,64.4,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
69,Daphne,US,77.0,few clouds,30.6035,-87.9036,Amricans Best Inn
70,Mogadishu,SO,82.62,overcast clouds,2.0371,45.3438,Hotel Juba
71,Abhar,IR,55.53,broken clouds,36.1468,49.218,علیرضا صادقی
72,Cape Town,ZA,60.01,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
73,Castro,BR,59.99,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
75,Santa Cruz de la Sierra,BO,68.0,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
76,Atuona,PF,80.67,few clouds,-9.8,-139.0333,Villa Enata
78,Kawalu,ID,74.25,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
79,Cabo San Lucas,MX,80.6,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
81,Colares,PT,63.0,broken clouds,38.7992,-9.4469,Arribas Sintra Hotel
83,Hervey Bay,AU,75.0,clear sky,-25.2986,152.8535,Shelly Bay Resort
84,Salalah,OM,82.4,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
85,Bud,US,52.0,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
86,Vaini,TO,82.4,broken clouds,-21.2,-175.2,Keleti Beach Resort
88,Mount Gambier,AU,59.0,broken clouds,-37.8333,140.7667,Commodore on the Park
89,Itoman,JP,73.4,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
93,Brunswick,US,53.01,overcast clouds,41.2381,-81.8418,Quality Inn Brunswick Cleveland South
95,George Town,MY,81.0,few clouds,5.4112,100.3354,Cititel Penang
96,Guarapuava,BR,55.09,light rain,-25.3953,-51.4581,Küster Hotel | Guarapuava
97,Sabha,LY,69.76,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
99,Muros,ES,57.99,light rain,42.7762,-9.0603,Apartment Av. Castelao
102,Acapulco de Juárez,MX,84.2,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
103,Constitución,CL,57.15,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
104,Savelugu,GH,80.8,overcast clouds,9.6244,-0.8253,Yoo Naa's Palace
105,Roebourne,AU,79.74,clear sky,-20.7833,117.1333,Harding River Caravan Park
106,São Filipe,CV,72.46,few clouds,14.8961,-24.4956,Tortuga B&B
107,Ancud,CL,55.99,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
108,Montepuez,MZ,67.59,light rain,-13.1256,38.9997,PembaAparthotel
