,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descriptions
0,Mount Isa,AU,-20.7333,139.5,78.8,41,6,19.57,clear sky
1,Moose Factory,CA,51.2585,-80.6094,24.8,68,90,8.05,overcast clouds
2,Auki,SB,-8.7676,160.7034,84.92,70,54,2.44,broken clouds
3,Haileybury,CA,47.449,-79.6373,50.0,62,90,8.05,overcast clouds
4,Ahmadpur East,PK,29.1431,71.2598,78.85,17,0,5.26,clear sky
5,Mahébourg,MU,-20.4081,57.7,78.8,78,75,12.66,light rain
6,Ushuaia,AR,-54.8,-68.3,50.0,50,40,1.14,scattered clouds
7,Busselton,AU,-33.65,115.3333,63.19,82,1,1.54,clear sky
8,Upernavik,GL,72.7868,-56.1549,25.66,86,12,6.73,few clouds
9,Hobart,AU,-42.8794,147.3294,55.4,62,75,8.05,broken clouds
10,Ketchikan,US,55.3422,-131.6461,60.8,31,20,13.8,few clouds
11,Kuandian,CN,40.7286,124.7847,52.21,24,5,12.35,clear sky
12,Yaan,NG,7.3833,8.5667,78.06,81,81,5.48,broken clouds
13,Bethel,US,41.3712,-73.414,59.0,31,1,9.22,clear sky
14,Lorengau,PG,-2.0226,147.2712,82.35,77,33,4.9,scattered clouds
15,Tasiilaq,GL,65.6145,-37.6368,42.8,70,75,20.71,broken clouds
16,Arraial do Cabo,BR,-22.9661,-42.0278,75.2,83,40,2.3,scattered clouds
17,Nanortalik,GL,60.1432,-45.2371,40.78,76,99,13.2,overcast clouds
18,Del Rio,US,29.3627,-100.8968,93.2,11,1,6.91,clear sky
19,Vila Franca do Campo,PT,37.7167,-25.4333,59.0,82,75,16.11,broken clouds
20,Buta,CD,2.7858,24.73,69.13,98,100,0.87,moderate rain
21,Ahipara,NZ,-35.1667,173.1667,65.03,55,14,9.13,few clouds
22,Ranau,MY,5.9538,116.6641,82.4,74,20,1.14,few clouds
23,Saint George,US,37.1041,-113.5841,80.6,11,1,18.41,clear sky
24,Albany,US,42.6001,-73.9662,59.0,35,96,2.82,overcast clouds
25,Hermanus,ZA,-34.4187,19.2345,63.0,80,93,1.99,overcast clouds
26,Mahibadhoo,MV,3.7833,72.9667,83.01,74,23,8.01,few clouds
27,Lompoc,US,34.6391,-120.4579,60.8,59,92,13.8,overcast clouds
28,Rikitea,PF,-23.1203,-134.9692,78.71,74,100,14.07,light rain
29,Thompson,CA,55.7435,-97.8558,28.4,43,75,5.75,broken clouds
30,Touros,BR,-5.1989,-35.4608,77.0,88,0,4.61,clear sky
31,Chui,UY,-33.6971,-53.4616,65.17,93,100,8.46,overcast clouds
32,Bluff,NZ,-46.6,168.3333,48.0,79,96,13.0,overcast clouds
33,Hong Kong,HK,22.2855,114.1577,78.01,87,67,1.99,broken clouds
34,San Quintín,MX,30.4833,-115.95,62.01,72,42,18.84,scattered clouds
35,Vanavara,RU,60.34,102.2797,34.59,95,100,0.45,overcast clouds
36,Bima,ID,-8.4667,118.7167,79.54,84,13,3.94,few clouds
37,Cabatuan,PH,10.8794,122.486,82.92,65,97,0.09,overcast clouds
38,Ust-Tsilma,RU,65.441,52.1498,42.48,85,70,7.38,broken clouds
39,Mataura,NZ,-46.1927,168.8643,48.0,79,93,13.0,overcast clouds
40,Butaritari,KI,3.0707,172.7902,82.26,77,36,11.23,light rain
41,Ribeira Grande,PT,38.5167,-28.7,59.76,74,97,20.94,overcast clouds
42,Harbour Breton,CA,47.4833,-55.7983,36.32,90,37,15.55,scattered clouds
43,Ponta do Sol,PT,32.6667,-17.1,57.0,84,46,3.0,scattered clouds
44,Mar del Plata,AR,-38.0023,-57.5575,57.99,88,20,5.75,few clouds
45,Kapaa,US,22.0752,-159.319,80.6,61,20,13.8,light rain
46,Punta Arenas,CL,-53.15,-70.9167,46.4,66,0,16.11,clear sky
47,Aklavik,CA,68.2191,-135.0107,42.8,45,20,8.05,few clouds
48,Qaqortoq,GL,60.7167,-46.0333,53.6,32,90,29.93,overcast clouds
49,Manaus,BR,-3.1019,-60.025,82.4,78,0,6.91,clear sky
50,Quatre Cocos,MU,-20.2078,57.7625,78.8,78,75,12.66,light rain
51,Avarua,CK,-21.2078,-159.775,84.2,70,40,11.5,scattered clouds
52,Victor Harbor,AU,-35.5667,138.6167,64.0,66,37,4.41,scattered clouds
53,Barrow,US,71.2906,-156.7887,28.4,80,1,9.22,clear sky
54,Vardø,NO,70.3705,31.1107,35.13,76,100,20.67,overcast clouds
55,Fengcheng,CN,40.4536,124.0717,52.79,29,6,9.31,clear sky
56,Seoul,KR,37.5683,126.9778,64.4,48,0,13.8,clear sky
57,Nicoya,CR,10.1483,-85.452,83.43,67,80,4.09,broken clouds
58,Kuril'sk,RU,45.2333,147.8833,31.75,92,100,12.28,light snow
59,Saint-Philippe,RE,-21.3585,55.7679,77.0,78,90,20.71,light rain
60,Saint Paul Harbor,US,57.79,-152.4072,44.6,81,90,10.36,mist
61,Saint Anthony,US,45.0205,-93.218,48.99,31,1,11.5,clear sky
62,Ngawen,ID,-7.0032,111.3129,75.31,84,2,4.29,clear sky
63,Guerrero Negro,MX,27.9769,-114.0611,64.08,64,9,19.35,clear sky
64,Itum-Kale,RU,42.7356,45.5758,49.87,92,48,0.89,scattered clouds
65,Baloi,PH,8.1146,124.2217,82.0,74,47,4.0,scattered clouds
66,Airai,TL,-8.9266,125.4092,65.8,71,56,3.36,broken clouds
67,Panguna,PG,-6.3164,155.4848,73.8,83,98,3.11,overcast clouds
68,Hasaki,JP,35.7333,140.8333,64.4,59,75,9.22,broken clouds
69,Daphne,US,30.6035,-87.9036,77.0,83,20,6.91,few clouds
70,Mogadishu,SO,2.0371,45.3438,82.62,75,90,12.26,overcast clouds
71,Abhar,IR,36.1468,49.218,55.53,66,67,2.15,broken clouds
72,Cape Town,ZA,-33.9258,18.4232,60.01,94,0,3.44,clear sky
73,Castro,BR,-24.7911,-50.0119,59.99,74,75,2.01,broken clouds
74,Batagay-Alyta,RU,67.8006,130.4114,23.85,72,100,4.63,overcast clouds
75,Santa Cruz de la Sierra,BO,-17.8,-63.1667,68.0,94,75,3.44,broken clouds
76,Atuona,PF,-9.8,-139.0333,80.67,72,15,14.43,few clouds
77,Churapcha,RU,62.0025,132.4325,25.59,89,99,4.14,overcast clouds
78,Kawalu,ID,-7.3817,108.2082,74.25,86,63,0.78,broken clouds
79,Cabo San Lucas,MX,22.8909,-109.9124,80.6,27,1,9.22,clear sky
80,Gorom-Gorom,BF,14.4439,-0.2361,89.69,7,3,8.81,clear sky
81,Colares,PT,38.7992,-9.4469,63.0,90,52,12.53,broken clouds
82,Yar-Sale,RU,66.8333,70.8333,25.68,98,68,5.01,broken clouds
83,Hervey Bay,AU,-25.2986,152.8535,75.0,66,0,4.0,clear sky
84,Salalah,OM,17.0151,54.0924,82.4,78,40,5.75,scattered clouds
85,Bud,US,39.447,-86.1758,52.0,92,100,3.94,overcast clouds
86,Vaini,TO,-21.2,-175.2,82.4,83,75,5.75,broken clouds
87,Taksimo,RU,56.3444,114.8794,33.4,80,100,2.35,overcast clouds
88,Mount Gambier,AU,-37.8333,140.7667,59.0,82,75,1.14,broken clouds
89,Itoman,JP,26.1247,127.6694,73.4,68,75,14.97,broken clouds
90,Dikson,RU,73.5069,80.5464,3.87,97,58,7.76,broken clouds
91,Khonsa,IN,27.0167,95.5667,66.96,43,3,3.6,clear sky
92,Rūdbār,AF,30.15,62.6,69.3,24,3,7.85,clear sky
93,Brunswick,US,41.2381,-81.8418,53.01,71,90,1.72,overcast clouds
94,Grindavik,IS,63.8424,-22.4338,44.6,93,90,21.85,moderate rain
95,George Town,MY,5.4112,100.3354,81.0,89,20,5.75,few clouds
96,Guarapuava,BR,-25.3953,-51.4581,55.09,96,95,2.21,light rain
97,Sabha,LY,27.0377,14.4283,69.76,39,10,16.58,clear sky
98,Uray,RU,60.1247,64.7758,39.72,81,100,6.96,overcast clouds
99,Muros,ES,42.7762,-9.0603,57.99,93,98,5.93,light rain
100,Dymer,UA,50.7865,30.3026,39.0,69,4,8.95,clear sky
101,Adrar,MR,20.5022,-10.0711,79.99,11,22,9.64,few clouds
102,Acapulco de Juárez,MX,16.8634,-99.8901,84.2,61,40,6.91,scattered clouds
103,Constitución,CL,-35.3333,-72.4167,57.15,69,2,9.62,clear sky
104,Savelugu,GH,9.6244,-0.8253,80.8,69,100,16.04,overcast clouds
105,Roebourne,AU,-20.7833,117.1333,79.74,28,0,14.7,clear sky
106,São Filipe,CV,14.8961,-24.4956,72.46,72,21,9.98,few clouds
107,Ancud,CL,-41.8697,-73.8203,55.99,93,90,5.75,overcast clouds
108,Montepuez,MZ,-13.1256,38.9997,67.59,98,99,5.5,light rain
109,Pangai,TO,-19.8,-174.35,84.2,74,40,6.91,scattered clouds
110,La Palma,US,33.8464,-118.0467,66.99,59,1,11.5,clear sky
111,Narsaq,GL,60.9167,-46.05,53.6,32,90,29.93,overcast clouds
112,Solnechnyy,RU,50.7214,136.6319,34.57,39,41,12.82,scattered clouds
113,Mâncio Lima,BR,-7.6142,-72.8958,74.08,94,61,2.37,broken clouds
114,Sydney,AU,-33.8679,151.2073,66.99,48,20,6.91,few clouds
115,Hithadhoo,MV,-0.6,73.0833,82.99,69,15,7.96,few clouds
116,Ostrovnoy,RU,68.0531,39.5131,34.72,99,100,5.99,overcast clouds
117,Okoneshnikovo,RU,54.8377,75.0834,38.28,54,100,7.65,overcast clouds
118,Port Alfred,ZA,-33.5906,26.891,65.19,83,67,7.74,broken clouds
119,Hambantota,LK,6.1241,81.1185,77.54,87,79,5.93,broken clouds
120,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,86,20,11.5,few clouds
