City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Shimanovsk,RU,2021-04-24 19:20:14,52.0,127.7,31.1,53,0,7.87
1,Nikolskoye,RU,2021-04-24 19:20:15,59.7035,30.7861,39.2,70,20,4.47
2,Port-Gentil,GA,2021-04-24 19:20:15,-0.7193,8.7815,82.4,83,75,5.75
3,Hilo,US,2021-04-24 19:20:16,19.7297,-155.09,71.6,83,90,6.91
4,Bredasdorp,ZA,2021-04-24 19:20:16,-34.5322,20.0403,53.6,87,96,3.44
5,Peniche,PT,2021-04-24 19:20:16,39.3558,-9.3811,66.0,69,100,8.01
6,Doha,QA,2021-04-24 19:17:26,25.2867,51.5333,84.99,51,0,2.3
7,Dingle,PH,2021-04-24 19:20:17,10.9995,122.6711,76.06,85,100,1.12
8,Campoverde,PE,2021-04-24 19:20:17,-8.4753,-74.8058,89.6,62,40,8.05
9,Atuona,PF,2021-04-24 19:20:18,-9.8,-139.0333,80.74,72,0,20.49
10,Ribeira Grande,PT,2021-04-24 19:20:18,38.5167,-28.7,59.0,72,75,19.57
11,Samarai,PG,2021-04-24 19:20:19,-10.6167,150.6667,82.4,78,88,14.32
12,Santa,PH,2021-04-24 19:20:19,17.486,120.4348,72.28,80,5,3.18
13,Estelle,US,2021-04-24 19:20:19,29.8458,-90.1067,86.0,78,75,16.11
14,Hobart,AU,2021-04-24 19:16:50,-42.8794,147.3294,48.99,81,40,9.22
15,Nangong,CN,2021-04-24 19:20:20,37.3581,115.3744,54.12,75,100,8.59
16,Ushuaia,AR,2021-04-24 19:20:20,-54.8,-68.3,55.4,54,75,5.75
17,Champerico,GT,2021-04-24 19:20:21,14.3,-91.9167,87.8,62,75,4.61
18,Mar Del Plata,AR,2021-04-24 19:20:21,-38.0023,-57.5575,66.2,55,40,14.97
19,Charagua,BO,2021-04-24 19:20:21,-19.8,-63.2167,68.0,94,90,10.4
20,Jamestown,US,2021-04-24 19:20:22,42.097,-79.2353,63.0,30,1,6.91
21,San Rafael,AR,2021-04-24 19:19:33,-34.6177,-68.3301,67.91,43,10,7.67
22,Inhambane,MZ,2021-04-24 19:20:22,-23.865,35.3833,71.96,79,0,8.16
23,Mmabatho,ZA,2021-04-24 19:20:23,-25.85,25.6333,62.6,36,0,4.61
24,Avarua,CK,2021-04-24 19:20:23,-21.2078,-159.775,80.6,74,20,13.8
25,Cherskiy,RU,2021-04-24 19:20:24,68.75,161.3,17.47,95,95,10.33
26,Puerto Ayora,EC,2021-04-24 19:16:24,-0.7393,-90.3518,80.6,78,75,9.22
27,Bengkulu,ID,2021-04-24 19:20:24,-3.8004,102.2655,75.4,89,100,4.03
28,Mount Isa,AU,2021-04-24 19:20:25,-20.7333,139.5,68.0,34,1,5.75
29,Mataura,NZ,2021-04-24 19:20:25,-46.1927,168.8643,48.0,90,86,7.0
30,Mahajanga,MG,2021-04-24 19:20:26,-15.7167,46.3167,80.6,78,40,2.3
31,Punta Arenas,CL,2021-04-24 19:20:26,-53.15,-70.9167,51.8,71,40,9.22
32,Todos Santos Cuchumatan,GT,2021-04-24 19:20:26,15.5167,-91.6167,82.4,47,75,7.72
33,Busselton,AU,2021-04-24 19:20:27,-33.65,115.3333,52.0,89,0,1.95
34,Esperance,AU,2021-04-24 19:20:27,-33.8667,121.9,57.2,77,44,13.8
35,Talnakh,RU,2021-04-24 19:20:27,69.4865,88.3972,30.42,97,100,13.71
36,Sol-Iletsk,RU,2021-04-24 19:20:28,51.1631,54.9918,45.48,87,64,7.7
37,Leshukonskoye,RU,2021-04-24 19:20:28,64.8989,45.7622,46.87,65,25,5.68
38,Vaini,TO,2021-04-24 19:20:28,-21.2,-175.2,71.6,100,40,1.14
39,Yellowknife,CA,2021-04-24 19:20:29,62.456,-114.3525,19.0,53,75,11.5
40,Butaritari,KI,2021-04-24 19:20:29,3.0707,172.7902,82.47,76,52,12.12
41,Bluff,NZ,2021-04-24 19:20:30,-46.6,168.3333,48.0,90,100,7.0
42,Iquitos,PE,2021-04-24 19:20:30,-3.7481,-73.2472,89.6,58,75,2.3
43,Luderitz,NA,2021-04-24 19:20:30,-26.6481,15.1594,62.08,85,7,5.28
44,Tasiilaq,GL,2021-04-24 19:20:31,65.6145,-37.6368,37.4,75,75,1.14
45,Naze,JP,2021-04-24 19:20:31,28.3667,129.4833,64.09,70,99,19.1
46,Conde,BR,2021-04-24 19:16:49,-7.2597,-34.9075,82.4,74,20,8.05
47,Rikitea,PF,2021-04-24 19:20:32,-23.1203,-134.9692,78.58,72,100,16.37
48,Hermanus,ZA,2021-04-24 19:20:32,-34.4187,19.2345,62.01,80,100,4.0
49,Hithadhoo,MV,2021-04-24 19:20:32,-0.6,73.0833,83.25,69,13,7.29
50,Tuktoyaktuk,CA,2021-04-24 19:16:54,69.4541,-133.0374,24.8,80,40,5.75
51,Volodarsk,RU,2021-04-24 19:20:33,56.2261,43.1861,48.2,100,90,4.47
52,Poum,NC,2021-04-24 19:20:33,-20.2333,164.0167,78.35,81,100,15.23
53,Tala,EG,2021-04-24 19:20:34,30.6803,30.9429,63.36,44,0,6.06
54,Kapaa,US,2021-04-24 19:16:14,22.0752,-159.319,78.8,69,40,17.27
55,Kodiak,US,2021-04-24 19:20:34,57.79,-152.4072,44.6,76,90,8.05
56,Dovers,VC,2021-04-24 19:20:35,12.8833,-61.1833,82.4,74,40,12.66
57,Barrow,US,2021-04-24 19:20:01,71.2906,-156.7887,21.2,93,1,3.44
58,Vestmannaeyjar,IS,2021-04-24 19:20:35,63.4427,-20.2734,44.6,87,90,19.57
59,Saint-Philippe,RE,2021-04-24 19:20:35,-21.3585,55.7679,77.0,83,75,25.32
60,Maceio,BR,2021-04-24 19:20:36,-9.6658,-35.7353,84.2,70,20,10.36
61,Mocuba,MZ,2021-04-24 19:20:36,-16.8392,36.9856,67.78,95,1,3.36
62,Severo-Kurilsk,RU,2021-04-24 19:20:37,50.6789,156.125,34.84,96,100,4.54
63,Thompson,CA,2021-04-24 19:17:34,55.7435,-97.8558,24.8,54,75,5.75
64,Khatanga,RU,2021-04-24 19:20:37,71.9667,102.5,32.18,97,100,16.82
65,Chuy,UY,2021-04-24 19:16:13,-33.6971,-53.4616,71.38,72,100,6.38
66,Albany,US,2021-04-24 19:20:34,42.6001,-73.9662,70.0,16,87,3.0
